year,level_1,level_2,level_3,value
2015,Total,HDB Dwellings,1- and 2-Room Flats,40.6
2015,Total,HDB Dwellings,3-Room Flats,160.4
2015,Total,HDB Dwellings,4-Room Flats,319.4
2015,Total,HDB Dwellings,5-Room and Executive Flats,245.4
2015,"Legislators, Senior Officials & Managers",HDB Dwellings,1- and 2-Room Flats,0.8
2015,"Legislators, Senior Officials & Managers",HDB Dwellings,3-Room Flats,14.1
2015,"Legislators, Senior Officials & Managers",HDB Dwellings,4-Room Flats,42.2
2015,"Legislators, Senior Officials & Managers",HDB Dwellings,5-Room and Executive Flats,59.5
2015,Professionals,HDB Dwellings,1- and 2-Room Flats,0.6
2015,Professionals,HDB Dwellings,3-Room Flats,16.5
2015,Professionals,HDB Dwellings,4-Room Flats,49.1
2015,Professionals,HDB Dwellings,5-Room and Executive Flats,53.8
2015,Associate Professionals & Technicians,HDB Dwellings,1- and 2-Room Flats,2.1
2015,Associate Professionals & Technicians,HDB Dwellings,3-Room Flats,25.9
2015,Associate Professionals & Technicians,HDB Dwellings,4-Room Flats,63.6
2015,Associate Professionals & Technicians,HDB Dwellings,5-Room and Executive Flats,53.1
2015,Clerical Support Workers,HDB Dwellings,1- and 2-Room Flats,2.9
2015,Clerical Support Workers,HDB Dwellings,3-Room Flats,18.8
2015,Clerical Support Workers,HDB Dwellings,4-Room Flats,29
2015,Clerical Support Workers,HDB Dwellings,5-Room and Executive Flats,18.2
2015,Service & Sales Workers,HDB Dwellings,1- and 2-Room Flats,10.5
2015,Service & Sales Workers,HDB Dwellings,3-Room Flats,25.4
2015,Service & Sales Workers,HDB Dwellings,4-Room Flats,37.8
2015,Service & Sales Workers,HDB Dwellings,5-Room and Executive Flats,17.5
2015,Craftsmen & Related Trades Workers,HDB Dwellings,1- and 2-Room Flats,3.1
2015,Craftsmen & Related Trades Workers,HDB Dwellings,3-Room Flats,11.5
2015,Craftsmen & Related Trades Workers,HDB Dwellings,4-Room Flats,26
2015,Craftsmen & Related Trades Workers,HDB Dwellings,5-Room and Executive Flats,13.2
2015,Plant & Machine Operators & Assemblers,HDB Dwellings,1- and 2-Room Flats,6.7
2015,Plant & Machine Operators & Assemblers,HDB Dwellings,3-Room Flats,24.6
2015,Plant & Machine Operators & Assemblers,HDB Dwellings,4-Room Flats,45.7
2015,Plant & Machine Operators & Assemblers,HDB Dwellings,5-Room and Executive Flats,20.2
2015,"Cleaners, Labourers & Related Workers",HDB Dwellings,1- and 2-Room Flats,13.9
2015,"Cleaners, Labourers & Related Workers",HDB Dwellings,3-Room Flats,22.8
2015,"Cleaners, Labourers & Related Workers",HDB Dwellings,4-Room Flats,23.1
2015,"Cleaners, Labourers & Related Workers",HDB Dwellings,5-Room and Executive Flats,6.5
2015,Others,HDB Dwellings,1- and 2-Room Flats,0.1
2015,Others,HDB Dwellings,3-Room Flats,0.9
2015,Others,HDB Dwellings,4-Room Flats,2.9
2015,Others,HDB Dwellings,5-Room and Executive Flats,3.4
