year,level_1,level_2,value
2015,Total,"Total",963.6
2015,Total,"HDB Dwellings",766.4
2015,Total,"Condominiums and Other Apartments",145.4
2015,Total,"Landed Properties",48.4
2015,Total,"Others",3.4
2015,"Legislators, Senior Officials & Managers","Total",222.7
2015,"Legislators, Senior Officials & Managers","HDB Dwellings",117
2015,"Legislators, Senior Officials & Managers","Condominiums and Other Apartments",75.2
2015,"Legislators, Senior Officials & Managers","Landed Properties",28.9
2015,"Legislators, Senior Officials & Managers","Others",1.6
2015,Professionals,"Total",176.5
2015,Professionals,"HDB Dwellings",120.1
2015,Professionals,"Condominiums and Other Apartments",44.4
2015,Professionals,"Landed Properties",11.7
2015,Professionals,"Others",0.3
2015,Associate Professionals & Technicians,"Total",164.3
2015,Associate Professionals & Technicians,"HDB Dwellings",144.7
2015,Associate Professionals & Technicians,"Condominiums and Other Apartments",15.3
2015,Associate Professionals & Technicians,"Landed Properties",3.7
2015,Associate Professionals & Technicians,"Others",0.6
2015,Clerical Support Workers,"Total",73
2015,Clerical Support Workers,"HDB Dwellings",68.9
2015,Clerical Support Workers,"Condominiums and Other Apartments",2.6
2015,Clerical Support Workers,"Landed Properties",1.6
2015,Service & Sales Workers,"Total",96.2
2015,Service & Sales Workers,"HDB Dwellings",91.2
2015,Service & Sales Workers,"Condominiums and Other Apartments",3.2
2015,Service & Sales Workers,"Landed Properties",1.2
2015,Service & Sales Workers,"Others",0.6
2015,Craftsmen & Related Trades Workers,"Total",55.3
2015,Craftsmen & Related Trades Workers,"HDB Dwellings",53.8
2015,Craftsmen & Related Trades Workers,"Condominiums and Other Apartments",1
2015,Craftsmen & Related Trades Workers,"Landed Properties",0.4
2015,Craftsmen & Related Trades Workers,"Others",0.2
2015,Plant & Machine Operators & Assemblers,"Total",99.3
2015,Plant & Machine Operators & Assemblers,"HDB Dwellings",97.2
2015,Plant & Machine Operators & Assemblers,"Condominiums and Other Apartments",1.6
2015,Plant & Machine Operators & Assemblers,"Landed Properties",0.5
2015,Plant & Machine Operators & Assemblers,"Others",0.1
2015,"Cleaners, Labourers & Related Workers","Total",67.2
2015,"Cleaners, Labourers & Related Workers","HDB Dwellings",66.3
2015,"Cleaners, Labourers & Related Workers","Condominiums and Other Apartments",0.5
2015,"Cleaners, Labourers & Related Workers","Landed Properties",0.3
2015,"Cleaners, Labourers & Related Workers","Others",0.1
2015,Others,"Total",9
2015,Others,"HDB Dwellings",7.3
2015,Others,"Condominiums and Other Apartments",1.6
2015,Others,"Landed Properties",0.2
