year,level_1,level_2,value
2015,Total,"Total",1059.2
2015,Total,"HDB Dwellings",849.4
2015,Total,"Condominiums and Other Apartments",142
2015,Total,"Landed Properties",64.8
2015,Total,"Others",2.9
2015,English,"Total",388.2
2015,English,"HDB Dwellings",253.6
2015,English,"Condominiums and Other Apartments",88.9
2015,English,"Landed Properties",45.2
2015,English,"Others",0.6
2015,Mandarin,"Total",363
2015,Mandarin,"HDB Dwellings",315.3
2015,Mandarin,"Condominiums and Other Apartments",33.1
2015,Mandarin,"Landed Properties",13.1
2015,Mandarin,"Others",1.4
2015,Chinese Dialects- Total,"Total",139.9
2015,Chinese Dialects- Total,"HDB Dwellings",124.6
2015,Chinese Dialects- Total,"Condominiums and Other Apartments",9.8
2015,Chinese Dialects- Total,"Landed Properties",4.9
2015,Chinese Dialects- Total,"Others",0.7
2015,Chinese Dialects- Hokkien,"Total",64.3
2015,Chinese Dialects- Hokkien,"HDB Dwellings",58.8
2015,Chinese Dialects- Hokkien,"Condominiums and Other Apartments",2.9
2015,Chinese Dialects- Hokkien,"Landed Properties",2.2
2015,Chinese Dialects- Hokkien,"Others",0.4
2015,Chinese Dialects- Teochew,"Total",28.2
2015,Chinese Dialects- Teochew,"HDB Dwellings",25.9
2015,Chinese Dialects- Teochew,"Condominiums and Other Apartments",1.2
2015,Chinese Dialects- Teochew,"Landed Properties",1
2015,Chinese Dialects- Teochew,"Others",0.1
2015,Chinese Dialects- Cantonese,"Total",38.3
2015,Chinese Dialects- Cantonese,"HDB Dwellings",32.2
2015,Chinese Dialects- Cantonese,"Condominiums and Other Apartments",4.8
2015,Chinese Dialects- Cantonese,"Landed Properties",1.2
2015,Chinese Dialects- Cantonese,"Others",0.1
2015,Chinese Dialects- Other Chinese Dialects,"Total",9.1
2015,Chinese Dialects- Other Chinese Dialects,"HDB Dwellings",7.7
2015,Chinese Dialects- Other Chinese Dialects,"Condominiums and Other Apartments",0.8
2015,Chinese Dialects- Other Chinese Dialects,"Landed Properties",0.5
2015,Chinese Dialects- Other Chinese Dialects,"Others",0.1
2015,Malay,"Total",106.8
2015,Malay,"HDB Dwellings",105.2
2015,Malay,"Condominiums and Other Apartments",1.3
2015,Malay,"Landed Properties",0.2
2015,Indian Languages- Total,"Total",50.9
2015,Indian Languages- Total,"HDB Dwellings",43.8
2015,Indian Languages- Total,"Condominiums and Other Apartments",6
2015,Indian Languages- Total,"Landed Properties",0.9
2015,Indian Languages- Total,"Others",0.2
2015,Indian Languages- Tamil,"Total",37.7
2015,Indian Languages- Tamil,"HDB Dwellings",35.3
2015,Indian Languages- Tamil,"Condominiums and Other Apartments",1.8
2015,Indian Languages- Tamil,"Landed Properties",0.5
2015,Indian Languages- Tamil,"Others",0.2
2015,Indian Languages- Other Indian Languages,"Total",13.2
2015,Indian Languages- Other Indian Languages,"HDB Dwellings",8.5
2015,Indian Languages- Other Indian Languages,"Condominiums and Other Apartments",4.2
2015,Indian Languages- Other Indian Languages,"Landed Properties",0.4
2015,Others,"Total",10.4
2015,Others,"HDB Dwellings",7
2015,Others,"Condominiums and Other Apartments",2.9
2015,Others,"Landed Properties",0.5
