year,level_1,level_2,level_3,value
2015,Total,Total,"Total",1225.3
2015,Total,Total,"HDB Dwellings",981.1
2015,Total,Total,"Condominiums and Other Apartments",170.8
2015,Total,Total,"Landed Properties",69.2
2015,Total,Total,"Others",4.2
2015,Total,Owner,"Total",1112.4
2015,Total,Owner,"HDB Dwellings",902.8
2015,Total,Owner,"Condominiums and Other Apartments",143.7
2015,Total,Owner,"Landed Properties",63.7
2015,Total,Owner,"Others",2.3
2015,Total,Non-Owner,"Total",112.9
2015,Total,Non-Owner,"HDB Dwellings",78.3
2015,Total,Non-Owner,"Condominiums and Other Apartments",27.1
2015,Total,Non-Owner,"Landed Properties",5.5
2015,Total,Non-Owner,"Others",1.9
2015,Single,Total,"Total",155.4
2015,Single,Total,"HDB Dwellings",126.5
2015,Single,Total,"Condominiums and Other Apartments",24.6
2015,Single,Total,"Landed Properties",3.4
2015,Single,Total,"Others",0.9
2015,Single,Owner,"Total",132
2015,Single,Owner,"HDB Dwellings",109.3
2015,Single,Owner,"Condominiums and Other Apartments",19.6
2015,Single,Owner,"Landed Properties",2.8
2015,Single,Owner,"Others",0.4
2015,Single,Non-Owner,"Total",23.4
2015,Single,Non-Owner,"HDB Dwellings",17.3
2015,Single,Non-Owner,"Condominiums and Other Apartments",5.1
2015,Single,Non-Owner,"Landed Properties",0.6
2015,Single,Non-Owner,"Others",0.5
2015,Married,Total,"Total",892.8
2015,Married,Total,"HDB Dwellings",699.8
2015,Married,Total,"Condominiums and Other Apartments",131.7
2015,Married,Total,"Landed Properties",58.8
2015,Married,Total,"Others",2.5
2015,Married,Owner,"Total",828.7
2015,Married,Owner,"HDB Dwellings",660.9
2015,Married,Owner,"Condominiums and Other Apartments",112.1
2015,Married,Owner,"Landed Properties",54.3
2015,Married,Owner,"Others",1.3
2015,Married,Non-Owner,"Total",64.1
2015,Married,Non-Owner,"HDB Dwellings",38.8
2015,Married,Non-Owner,"Condominiums and Other Apartments",19.6
2015,Married,Non-Owner,"Landed Properties",4.5
2015,Married,Non-Owner,"Others",1.2
2015,Widowed,Total,"Total",91.6
2015,Widowed,Total,"HDB Dwellings",80.5
2015,Widowed,Total,"Condominiums and Other Apartments",5.4
2015,Widowed,Total,"Landed Properties",4.9
2015,Widowed,Total,"Others",0.7
2015,Widowed,Owner,"Total",83
2015,Widowed,Owner,"HDB Dwellings",72.5
2015,Widowed,Owner,"Condominiums and Other Apartments",5.2
2015,Widowed,Owner,"Landed Properties",4.8
2015,Widowed,Owner,"Others",0.5
2015,Widowed,Non-Owner,"Total",8.5
2015,Widowed,Non-Owner,"HDB Dwellings",8
2015,Widowed,Non-Owner,"Condominiums and Other Apartments",0.3
2015,Widowed,Non-Owner,"Landed Properties",0.1
2015,Widowed,Non-Owner,"Others",0.2
2015,Divorced/Separated,Total,"Total",85.5
2015,Divorced/Separated,Total,"HDB Dwellings",74.3
2015,Divorced/Separated,Total,"Condominiums and Other Apartments",9
2015,Divorced/Separated,Total,"Landed Properties",2.1
2015,Divorced/Separated,Total,"Others",0.1
2015,Divorced/Separated,Owner,"Total",68.6
2015,Divorced/Separated,Owner,"HDB Dwellings",60.1
2015,Divorced/Separated,Owner,"Condominiums and Other Apartments",6.8
2015,Divorced/Separated,Owner,"Landed Properties",1.7
2015,Divorced/Separated,Owner,"Others",0.1
2015,Divorced/Separated,Non-Owner,"Total",16.8
2015,Divorced/Separated,Non-Owner,"HDB Dwellings",14.2
2015,Divorced/Separated,Non-Owner,"Condominiums and Other Apartments",2.2
2015,Divorced/Separated,Non-Owner,"Landed Properties",0.4
2015,Divorced/Separated,Non-Owner,"Others",0.1
