year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,164.4
2015,Total,Total,Bedok,252.2
2015,Total,Total,Bishan,82.1
2015,Total,Total,Bukit Batok,128.2
2015,Total,Total,Bukit Merah,133.5
2015,Total,Total,Bukit Panjang,134.4
2015,Total,Total,Bukit Timah,65.5
2015,Total,Total,Choa Chu Kang,167.4
2015,Total,Total,Clementi,75
2015,Total,Total,Geylang,93.8
2015,Total,Total,Hougang,200.7
2015,Total,Total,Jurong East,75.1
2015,Total,Total,Jurong West,262.5
2015,Total,Total,Kallang,83.4
2015,Total,Total,Marine Parade,37.6
2015,Total,Total,Novena,39.4
2015,Total,Total,Outram,16
2015,Total,Total,Pasir Ris,133.4
2015,Total,Total,Punggol,95
2015,Total,Total,Queenstown,79.8
2015,Total,Total,Sembawang,74.4
2015,Total,Total,Sengkang,206.1
2015,Total,Total,Serangoon,115.6
2015,Total,Total,Tampines,248.8
2015,Total,Total,Tanglin,15.4
2015,Total,Total,Toa Payoh,108.9
2015,Total,Total,Woodlands,226.8
2015,Total,Total,Yishun,183.9
2015,Total,Total,Others,31.4
2015,English,Total,Ang Mo Kio,58
2015,English,Total,Bedok,107.6
2015,English,Total,Bishan,43.8
2015,English,Total,Bukit Batok,44.6
2015,English,Total,Bukit Merah,46.8
2015,English,Total,Bukit Panjang,42.8
2015,English,Total,Bukit Timah,47.3
2015,English,Total,Choa Chu Kang,54.7
2015,English,Total,Clementi,29.2
2015,English,Total,Geylang,30.4
2015,English,Total,Hougang,73.1
2015,English,Total,Jurong East,19.2
2015,English,Total,Jurong West,61.7
2015,English,Total,Kallang,28
2015,English,Total,Marine Parade,20.5
2015,English,Total,Novena,21.8
2015,English,Total,Outram,5.9
2015,English,Total,Pasir Ris,66.9
2015,English,Total,Punggol,38.6
2015,English,Total,Queenstown,31.5
2015,English,Total,Sembawang,24.2
2015,English,Total,Sengkang,73.1
2015,English,Total,Serangoon,59.7
2015,English,Total,Tampines,95.2
2015,English,Total,Tanglin,12.1
2015,English,Total,Toa Payoh,41.1
2015,English,Total,Woodlands,58.6
2015,English,Total,Yishun,51.4
2015,English,Total,Others,15.4
2015,Mandarin,Total,Ang Mo Kio,56.5
2015,Mandarin,Total,Bedok,70.4
2015,Mandarin,Total,Bishan,23.1
2015,Mandarin,Total,Bukit Batok,49.9
2015,Mandarin,Total,Bukit Merah,37.1
2015,Mandarin,Total,Bukit Panjang,54.7
2015,Mandarin,Total,Bukit Timah,11.3
2015,Mandarin,Total,Choa Chu Kang,62.8
2015,Mandarin,Total,Clementi,23.6
2015,Mandarin,Total,Geylang,33
2015,Mandarin,Total,Hougang,84.8
2015,Mandarin,Total,Jurong East,28.1
2015,Mandarin,Total,Jurong West,114
2015,Mandarin,Total,Kallang,28.5
2015,Mandarin,Total,Marine Parade,8.9
2015,Mandarin,Total,Novena,9.6
2015,Mandarin,Total,Outram,4.7
2015,Mandarin,Total,Pasir Ris,34.2
2015,Mandarin,Total,Punggol,34.3
2015,Mandarin,Total,Queenstown,22.3
2015,Mandarin,Total,Sembawang,32.4
2015,Mandarin,Total,Sengkang,83
2015,Mandarin,Total,Serangoon,33.5
2015,Mandarin,Total,Tampines,75.2
2015,Mandarin,Total,Tanglin,1.1
2015,Mandarin,Total,Toa Payoh,37.7
2015,Mandarin,Total,Woodlands,94
2015,Mandarin,Total,Yishun,75.5
2015,Mandarin,Total,Others,7.7
2015,Chinese Dialects,Total,Ang Mo Kio,28.4
2015,Chinese Dialects,Total,Bedok,30.4
