year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,145.2
2015,Total,Total,Bedok,212.5
2015,Total,Total,Bishan,68.1
2015,Total,Total,Bukit Batok,105.2
2015,Total,Total,Bukit Merah,123
2015,Total,Total,Bukit Panjang,106.8
2015,Total,Total,Bukit Timah,52.6
2015,Total,Total,Choa Chu Kang,129.5
2015,Total,Total,Clementi,67.5
2015,Total,Total,Geylang,84.8
2015,Total,Total,Hougang,164.2
2015,Total,Total,Jurong East,64.4
2015,Total,Total,Jurong West,210.7
2015,Total,Total,Kallang,78.3
2015,Total,Total,Marine Parade,33
2015,Total,Total,Novena,34.2
2015,Total,Total,Outram,16.4
2015,Total,Total,Pasir Ris,101.7
2015,Total,Total,Punggol,77.5
2015,Total,Total,Queenstown,74.8
2015,Total,Total,Sembawang,58.2
2015,Total,Total,Sengkang,160.1
2015,Total,Total,Serangoon,98.6
2015,Total,Total,Tampines,206.2
2015,Total,Total,Tanglin,13.1
2015,Total,Total,Toa Payoh,98.3
2015,Total,Total,Woodlands,177.6
2015,Total,Total,Yishun,156.9
2015,Total,Total,Others,29
2015,No Qualification,Total,Ang Mo Kio,23.9
2015,No Qualification,Total,Bedok,26.7
2015,No Qualification,Total,Bishan,6.2
2015,No Qualification,Total,Bukit Batok,11.8
2015,No Qualification,Total,Bukit Merah,22.5
2015,No Qualification,Total,Bukit Panjang,12.3
2015,No Qualification,Total,Bukit Timah,1.8
2015,No Qualification,Total,Choa Chu Kang,12.3
2015,No Qualification,Total,Clementi,10.1
2015,No Qualification,Total,Geylang,13.7
2015,No Qualification,Total,Hougang,22.5
2015,No Qualification,Total,Jurong East,9.7
2015,No Qualification,Total,Jurong West,26.4
2015,No Qualification,Total,Kallang,13.5
2015,No Qualification,Total,Marine Parade,3.3
2015,No Qualification,Total,Novena,4.1
2015,No Qualification,Total,Outram,3.2
2015,No Qualification,Total,Pasir Ris,8
2015,No Qualification,Total,Punggol,6.9
2015,No Qualification,Total,Queenstown,11
2015,No Qualification,Total,Sembawang,5
2015,No Qualification,Total,Sengkang,17.7
2015,No Qualification,Total,Serangoon,10.6
2015,No Qualification,Total,Tampines,24.1
2015,No Qualification,Total,Tanglin,0.2
2015,No Qualification,Total,Toa Payoh,15
2015,No Qualification,Total,Woodlands,19.6
2015,No Qualification,Total,Yishun,23
2015,No Qualification,Total,Others,3
2015,Primary,Total,Ang Mo Kio,13.4
2015,Primary,Total,Bedok,15.1
2015,Primary,Total,Bishan,3.1
2015,Primary,Total,Bukit Batok,7.7
2015,Primary,Total,Bukit Merah,10.3
2015,Primary,Total,Bukit Panjang,8.2
2015,Primary,Total,Bukit Timah,1.2
2015,Primary,Total,Choa Chu Kang,9.5
2015,Primary,Total,Clementi,4.5
2015,Primary,Total,Geylang,6.5
2015,Primary,Total,Hougang,11.3
2015,Primary,Total,Jurong East,4.1
2015,Primary,Total,Jurong West,17.6
2015,Primary,Total,Kallang,5.5
2015,Primary,Total,Marine Parade,1
2015,Primary,Total,Novena,2.1
2015,Primary,Total,Outram,0.7
2015,Primary,Total,Pasir Ris,4.4
2015,Primary,Total,Punggol,3.3
2015,Primary,Total,Queenstown,5.5
2015,Primary,Total,Sembawang,3.8
2015,Primary,Total,Sengkang,9.6
2015,Primary,Total,Serangoon,5
2015,Primary,Total,Tampines,12.8
2015,Primary,Total,Tanglin,0.2
2015,Primary,Total,Toa Payoh,8.4
2015,Primary,Total,Woodlands,13.9
2015,Primary,Total,Yishun,13.4
2015,Primary,Total,Others,1.1
2015,Lower Secondary,Total,Ang Mo Kio,13.3
2015,Lower Secondary,Total,Bedok,16.3
2015,Lower Secondary,Total,Bishan,4.8
2015,Lower Secondary,Total,Bukit Batok,8.5
2015,Lower Secondary,Total,Bukit Merah,11.3
2015,Lower Secondary,Total,Bukit Panjang,8.3
2015,Lower Secondary,Total,Bukit Timah,1.2
