year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,157.2
2015,Total,Total,Bedok,235.9
2015,Total,Total,Bishan,76.3
2015,Total,Total,Bukit Batok,120.1
2015,Total,Total,Bukit Merah,132.5
2015,Total,Total,Bukit Panjang,119.6
2015,Total,Total,Bukit Timah,59.1
2015,Total,Total,Choa Chu Kang,149.3
2015,Total,Total,Clementi,72.7
2015,Total,Total,Geylang,92.4
2015,Total,Total,Hougang,184.6
2015,Total,Total,Jurong East,70.6
2015,Total,Total,Jurong West,235.1
2015,Total,Total,Kallang,84.8
2015,Total,Total,Marine Parade,35.9
2015,Total,Total,Novena,37.2
2015,Total,Total,Outram,17.4
2015,Total,Total,Pasir Ris,119.4
2015,Total,Total,Punggol,82.9
2015,Total,Total,Queenstown,81.8
2015,Total,Total,Sembawang,64.9
2015,Total,Total,Sengkang,177.8
2015,Total,Total,Serangoon,109.4
2015,Total,Total,Tampines,231.7
2015,Total,Total,Tanglin,14.4
2015,Total,Total,Toa Payoh,107.9
2015,Total,Total,Woodlands,201.9
2015,Total,Total,Yishun,172.3
2015,Total,Total,Others,31
2015,No Religion,Total,Ang Mo Kio,26.9
2015,No Religion,Total,Bedok,37.3
2015,No Religion,Total,Bishan,16.9
2015,No Religion,Total,Bukit Batok,20.7
2015,No Religion,Total,Bukit Merah,26.3
2015,No Religion,Total,Bukit Panjang,21
2015,No Religion,Total,Bukit Timah,15
2015,No Religion,Total,Choa Chu Kang,28.1
2015,No Religion,Total,Clementi,16.3
2015,No Religion,Total,Geylang,18.1
2015,No Religion,Total,Hougang,35
2015,No Religion,Total,Jurong East,13.2
2015,No Religion,Total,Jurong West,40.4
2015,No Religion,Total,Kallang,18
2015,No Religion,Total,Marine Parade,9
2015,No Religion,Total,Novena,8.8
2015,No Religion,Total,Outram,4.1
2015,No Religion,Total,Pasir Ris,21.6
2015,No Religion,Total,Punggol,17.8
2015,No Religion,Total,Queenstown,16.5
2015,No Religion,Total,Sembawang,13
2015,No Religion,Total,Sengkang,34.3
2015,No Religion,Total,Serangoon,21.7
2015,No Religion,Total,Tampines,37
2015,No Religion,Total,Tanglin,3.2
2015,No Religion,Total,Toa Payoh,21.7
2015,No Religion,Total,Woodlands,28.8
2015,No Religion,Total,Yishun,27
2015,No Religion,Total,Others,7.1
2015,Buddhism,Total,Ang Mo Kio,56.2
2015,Buddhism,Total,Bedok,70.7
2015,Buddhism,Total,Bishan,21.2
2015,Buddhism,Total,Bukit Batok,40.6
2015,Buddhism,Total,Bukit Merah,50.5
2015,Buddhism,Total,Bukit Panjang,41.7
2015,Buddhism,Total,Bukit Timah,10.3
2015,Buddhism,Total,Choa Chu Kang,47.7
2015,Buddhism,Total,Clementi,23.5
2015,Buddhism,Total,Geylang,32.2
2015,Buddhism,Total,Hougang,71.5
2015,Buddhism,Total,Jurong East,17.5
2015,Buddhism,Total,Jurong West,87.8
2015,Buddhism,Total,Kallang,28.9
2015,Buddhism,Total,Marine Parade,8.3
2015,Buddhism,Total,Novena,11.5
2015,Buddhism,Total,Outram,5.9
2015,Buddhism,Total,Pasir Ris,32.9
2015,Buddhism,Total,Punggol,28.6
2015,Buddhism,Total,Queenstown,25.6
2015,Buddhism,Total,Sembawang,22.1
2015,Buddhism,Total,Sengkang,70.8
2015,Buddhism,Total,Serangoon,31.5
2015,Buddhism,Total,Tampines,71.1
2015,Buddhism,Total,Tanglin,2.8
2015,Buddhism,Total,Toa Payoh,37.2
2015,Buddhism,Total,Woodlands,68.6
2015,Buddhism,Total,Yishun,60.7
2015,Buddhism,Total,Others,9.5
2015,Taoism,Total,Ang Mo Kio,22.6
2015,Taoism,Total,Bedok,21.7
2015,Taoism,Total,Bishan,7.8
2015,Taoism,Total,Bukit Batok,12.3
2015,Taoism,Total,Bukit Merah,13.2
2015,Taoism,Total,Bukit Panjang,16
2015,Taoism,Total,Bukit Timah,3.4
