year,level_1,level_2,level_3,level_4,value
2015,Total,Total,Total,Ang Mo Kio,157.2
2015,Total,Total,Total,Bedok,235.9
2015,Total,Total,Total,Bishan,76.3
2015,Total,Total,Total,Bukit Batok,120.1
2015,Total,Total,Total,Bukit Merah,132.5
2015,Total,Total,Total,Bukit Panjang,119.6
2015,Total,Total,Total,Bukit Timah,59.1
2015,Total,Total,Total,Choa Chu Kang,149.3
2015,Total,Total,Total,Clementi,72.7
2015,Total,Total,Total,Geylang,92.4
2015,Total,Total,Total,Hougang,184.6
2015,Total,Total,Total,Jurong East,70.6
2015,Total,Total,Total,Jurong West,235.1
2015,Total,Total,Total,Kallang,84.8
2015,Total,Total,Total,Marine Parade,35.9
2015,Total,Total,Total,Novena,37.2
2015,Total,Total,Total,Outram,17.4
2015,Total,Total,Total,Pasir Ris,119.4
2015,Total,Total,Total,Punggol,82.9
2015,Total,Total,Total,Queenstown,81.8
2015,Total,Total,Total,Sembawang,64.9
2015,Total,Total,Total,Sengkang,177.8
2015,Total,Total,Total,Serangoon,109.4
2015,Total,Total,Total,Tampines,231.7
2015,Total,Total,Total,Tanglin,14.4
2015,Total,Total,Total,Toa Payoh,107.9
2015,Total,Total,Total,Woodlands,201.9
2015,Total,Total,Total,Yishun,172.3
2015,Total,Total,Total,Others,31
2015,Total,Males,Total,Ang Mo Kio,76.1
2015,Total,Males,Total,Bedok,114.7
2015,Total,Males,Total,Bishan,36.1
2015,Total,Males,Total,Bukit Batok,57.6
2015,Total,Males,Total,Bukit Merah,63.3
2015,Total,Males,Total,Bukit Panjang,59.7
2015,Total,Males,Total,Bukit Timah,27.8
2015,Total,Males,Total,Choa Chu Kang,71.5
2015,Total,Males,Total,Clementi,34.7
2015,Total,Males,Total,Geylang,45.2
2015,Total,Males,Total,Hougang,88.9
2015,Total,Males,Total,Jurong East,35.3
2015,Total,Males,Total,Jurong West,116.4
2015,Total,Males,Total,Kallang,40.6
2015,Total,Males,Total,Marine Parade,16.6
2015,Total,Males,Total,Novena,18.5
2015,Total,Males,Total,Outram,8.6
