year,level_1,level_2,level_3,value
2015,Total,Total,"Total",3275.9
2015,Total,Males,"Total",1589.6
2015,Total,Females,"Total",1686.3
2015,Single,Total,"Total",1034.5
2015,Single,Males,"Total",533.2
2015,Single,Females,"Total",501.3
2015,Married,Total,"Total",1945.6
2015,Married,Males,"Total",984.7
2015,Married,Females,"Total",960.9
2015,Widowed,Total,"Total",172.1
2015,Widowed,Males,"Total",28.9
2015,Widowed,Females,"Total",143.2
2015,Divorced/Separated,Total,"Total",123.6
2015,Divorced/Separated,Males,"Total",42.7
2015,Divorced/Separated,Females,"Total",80.9
