year,level_1,level_2,level_3,level_4,value
2015,Total,Total,HDB Dwellings,1-and 2-Room Flats,118.6
2015,Total,Total,HDB Dwellings,3-Room Flats,518.6
2015,Total,Total,HDB Dwellings,4-Room Flats,1140.9
2015,Total,Total,HDB Dwellings,5-Room & Executive Flats,916.8
2015,Total,Males,HDB Dwellings,1-and 2-Room Flats,60.4
2015,Total,Males,HDB Dwellings,3-Room Flats,242.5
2015,Total,Males,HDB Dwellings,4-Room Flats,554
2015,Total,Males,HDB Dwellings,5-Room & Executive Flats,452.3
2015,Total,Females,HDB Dwellings,1-and 2-Room Flats,58.3
2015,Total,Females,HDB Dwellings,3-Room Flats,276
2015,Total,Females,HDB Dwellings,4-Room Flats,586.9
2015,Total,Females,HDB Dwellings,5-Room & Executive Flats,464.6
2015,No Religion,Total,HDB Dwellings,1-and 2-Room Flats,13.1
2015,No Religion,Total,HDB Dwellings,3-Room Flats,77.2
2015,No Religion,Total,HDB Dwellings,4-Room Flats,181.6
2015,No Religion,Total,HDB Dwellings,5-Room & Executive Flats,178.5
2015,No Religion,Males,HDB Dwellings,1-and 2-Room Flats,7.7
2015,No Religion,Males,HDB Dwellings,3-Room Flats,39.2
2015,No Religion,Males,HDB Dwellings,4-Room Flats,92.8
2015,No Religion,Males,HDB Dwellings,5-Room & Executive Flats,95.8
2015,No Religion,Females,HDB Dwellings,1-and 2-Room Flats,5.4
2015,No Religion,Females,HDB Dwellings,3-Room Flats,38
2015,No Religion,Females,HDB Dwellings,4-Room Flats,88.8
2015,No Religion,Females,HDB Dwellings,5-Room & Executive Flats,82.7
2015,Buddhism,Total,HDB Dwellings,1-and 2-Room Flats,33.5
2015,Buddhism,Total,HDB Dwellings,3-Room Flats,199.6
2015,Buddhism,Total,HDB Dwellings,4-Room Flats,422.6
2015,Buddhism,Total,HDB Dwellings,5-Room & Executive Flats,289.8
2015,Buddhism,Males,HDB Dwellings,1-and 2-Room Flats,17.6
2015,Buddhism,Males,HDB Dwellings,3-Room Flats,93.3
2015,Buddhism,Males,HDB Dwellings,4-Room Flats,204.3
2015,Buddhism,Males,HDB Dwellings,5-Room & Executive Flats,141.1
2015,Buddhism,Females,HDB Dwellings,1-and 2-Room Flats,15.9
2015,Buddhism,Females,HDB Dwellings,3-Room Flats,106.3
2015,Buddhism,Females,HDB Dwellings,4-Room Flats,218.3
2015,Buddhism,Females,HDB Dwellings,5-Room & Executive Flats,148.7
2015,Taoism,Total,HDB Dwellings,1-and 2-Room Flats,9.4
2015,Taoism,Total,HDB Dwellings,3-Room Flats,59.9
2015,Taoism,Total,HDB Dwellings,4-Room Flats,135.9
2015,Taoism,Total,HDB Dwellings,5-Room & Executive Flats,85.6
2015,Taoism,Males,HDB Dwellings,1-and 2-Room Flats,5.3
2015,Taoism,Males,HDB Dwellings,3-Room Flats,27.6
2015,Taoism,Males,HDB Dwellings,4-Room Flats,68.2
2015,Taoism,Males,HDB Dwellings,5-Room & Executive Flats,43.1
2015,Taoism,Females,HDB Dwellings,1-and 2-Room Flats,4.1
2015,Taoism,Females,HDB Dwellings,3-Room Flats,32.3
2015,Taoism,Females,HDB Dwellings,4-Room Flats,67.7
2015,Taoism,Females,HDB Dwellings,5-Room & Executive Flats,42.5
2015,Islam,Total,HDB Dwellings,1-and 2-Room Flats,44.1
2015,Islam,Total,HDB Dwellings,3-Room Flats,84.2
2015,Islam,Total,HDB Dwellings,4-Room Flats,191.7
2015,Islam,Total,HDB Dwellings,5-Room & Executive Flats,126.4
2015,Islam,Males,HDB Dwellings,1-and 2-Room Flats,21.2
2015,Islam,Males,HDB Dwellings,3-Room Flats,40.8
2015,Islam,Males,HDB Dwellings,4-Room Flats,94.9
2015,Islam,Males,HDB Dwellings,5-Room & Executive Flats,63.2
2015,Islam,Females,HDB Dwellings,1-and 2-Room Flats,22.9
2015,Islam,Females,HDB Dwellings,3-Room Flats,43.4
2015,Islam,Females,HDB Dwellings,4-Room Flats,96.8
2015,Islam,Females,HDB Dwellings,5-Room & Executive Flats,63.2
2015,Hinduism,Total,HDB Dwellings,1-and 2-Room Flats,5.4
2015,Hinduism,Total,HDB Dwellings,3-Room Flats,27.5
2015,Hinduism,Total,HDB Dwellings,4-Room Flats,51.7
2015,Hinduism,Total,HDB Dwellings,5-Room & Executive Flats,47.1
2015,Hinduism,Males,HDB Dwellings,1-and 2-Room Flats,2.7
2015,Hinduism,Males,HDB Dwellings,3-Room Flats,14.1
2015,Hinduism,Males,HDB Dwellings,4-Room Flats,26
2015,Hinduism,Males,HDB Dwellings,5-Room & Executive Flats,23.2
2015,Hinduism,Females,HDB Dwellings,1-and 2-Room Flats,2.7
2015,Hinduism,Females,HDB Dwellings,3-Room Flats,13.3
2015,Hinduism,Females,HDB Dwellings,4-Room Flats,25.7
2015,Hinduism,Females,HDB Dwellings,5-Room & Executive Flats,23.9
2015,Sikhism,Total,HDB Dwellings,1-and 2-Room Flats,0.8
2015,Sikhism,Total,HDB Dwellings,3-Room Flats,1
2015,Sikhism,Total,HDB Dwellings,4-Room Flats,2.7
2015,Sikhism,Total,HDB Dwellings,5-Room & Executive Flats,4.7
2015,Sikhism,Males,HDB Dwellings,1-and 2-Room Flats,0.3
2015,Sikhism,Males,HDB Dwellings,3-Room Flats,0.4
2015,Sikhism,Males,HDB Dwellings,4-Room Flats,1.2
2015,Sikhism,Males,HDB Dwellings,5-Room & Executive Flats,2.3
2015,Sikhism,Females,HDB Dwellings,1-and 2-Room Flats,0.5
2015,Sikhism,Females,HDB Dwellings,3-Room Flats,0.6
2015,Sikhism,Females,HDB Dwellings,4-Room Flats,1.5
2015,Sikhism,Females,HDB Dwellings,5-Room & Executive Flats,2.4
2015,Christianity- Catholic,Total,HDB Dwellings,1-and 2-Room Flats,5.1
2015,Christianity- Catholic,Total,HDB Dwellings,3-Room Flats,26.6
2015,Christianity- Catholic,Total,HDB Dwellings,4-Room Flats,58.8
2015,Christianity- Catholic,Total,HDB Dwellings,5-Room & Executive Flats,58.2
2015,Christianity- Catholic,Males,HDB Dwellings,1-and 2-Room Flats,2.4
2015,Christianity- Catholic,Males,HDB Dwellings,3-Room Flats,11.4
2015,Christianity- Catholic,Males,HDB Dwellings,4-Room Flats,26
2015,Christianity- Catholic,Males,HDB Dwellings,5-Room & Executive Flats,26.1
2015,Christianity- Catholic,Females,HDB Dwellings,1-and 2-Room Flats,2.7
2015,Christianity- Catholic,Females,HDB Dwellings,3-Room Flats,15.2
2015,Christianity- Catholic,Females,HDB Dwellings,4-Room Flats,32.9
2015,Christianity- Catholic,Females,HDB Dwellings,5-Room & Executive Flats,32.2
2015,Christianity- Other Christians,Total,HDB Dwellings,1-and 2-Room Flats,6.6
2015,Christianity- Other Christians,Total,HDB Dwellings,3-Room Flats,41.1
2015,Christianity- Other Christians,Total,HDB Dwellings,4-Room Flats,93.8
2015,Christianity- Other Christians,Total,HDB Dwellings,5-Room & Executive Flats,124.4
2015,Christianity- Other Christians,Males,HDB Dwellings,1-and 2-Room Flats,2.9
2015,Christianity- Other Christians,Males,HDB Dwellings,3-Room Flats,15.2
2015,Christianity- Other Christians,Males,HDB Dwellings,4-Room Flats,39.6
2015,Christianity- Other Christians,Males,HDB Dwellings,5-Room & Executive Flats,56.6
2015,Christianity- Other Christians,Females,HDB Dwellings,1-and 2-Room Flats,3.7
2015,Christianity- Other Christians,Females,HDB Dwellings,3-Room Flats,26
2015,Christianity- Other Christians,Females,HDB Dwellings,4-Room Flats,54.2
2015,Christianity- Other Christians,Females,HDB Dwellings,5-Room & Executive Flats,67.8
2015,Other Religions,Total,HDB Dwellings,1-and 2-Room Flats,0.6
2015,Other Religions,Total,HDB Dwellings,3-Room Flats,1.4
2015,Other Religions,Total,HDB Dwellings,4-Room Flats,2.2
2015,Other Religions,Total,HDB Dwellings,5-Room & Executive Flats,2
