year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,101.2
2015,Total,Total,Bedok,150.3
2015,Total,Total,Bishan,49.5
2015,Total,Total,Bukit Batok,75.6
2015,Total,Total,Bukit Merah,82.2
2015,Total,Total,Bukit Panjang,80.1
2015,Total,Total,Bukit Timah,36.8
2015,Total,Total,Choa Chu Kang,97.2
2015,Total,Total,Clementi,45.9
2015,Total,Total,Geylang,61.4
2015,Total,Total,Hougang,120.8
2015,Total,Total,Jurong East,46.1
2015,Total,Total,Jurong West,158.7
2015,Total,Total,Kallang,55.4
2015,Total,Total,Marine Parade,21.5
2015,Total,Total,Novena,23.8
2015,Total,Total,Outram,11.7
2015,Total,Total,Pasir Ris,78
2015,Total,Total,Punggol,60.4
2015,Total,Total,Queenstown,49.2
2015,Total,Total,Sembawang,47.3
2015,Total,Total,Sengkang,124.3
2015,Total,Total,Serangoon,68.2
2015,Total,Total,Tampines,152.8
2015,Total,Total,Tanglin,9
2015,Total,Total,Toa Payoh,68.9
2015,Total,Total,Woodlands,134.8
2015,Total,Total,Yishun,119.3
2015,Total,Total,Others,21.5
2015,"Legislators, Senior Officials & Managers",Total,Ang Mo Kio,15.1
2015,"Legislators, Senior Officials & Managers",Total,Bedok,29.7
2015,"Legislators, Senior Officials & Managers",Total,Bishan,11.7
2015,"Legislators, Senior Officials & Managers",Total,Bukit Batok,13
2015,"Legislators, Senior Officials & Managers",Total,Bukit Merah,11.9
2015,"Legislators, Senior Officials & Managers",Total,Bukit Panjang,12
2015,"Legislators, Senior Officials & Managers",Total,Bukit Timah,14.2
2015,"Legislators, Senior Officials & Managers",Total,Choa Chu Kang,12.2
2015,"Legislators, Senior Officials & Managers",Total,Clementi,9
2015,"Legislators, Senior Officials & Managers",Total,Geylang,8.9
2015,"Legislators, Senior Officials & Managers",Total,Hougang,18
2015,"Legislators, Senior Officials & Managers",Total,Jurong East,5.7
2015,"Legislators, Senior Officials & Managers",Total,Jurong West,19.4
2015,"Legislators, Senior Officials & Managers",Total,Kallang,10.1
2015,"Legislators, Senior Officials & Managers",Total,Marine Parade,6.8
2015,"Legislators, Senior Officials & Managers",Total,Novena,5.6
2015,"Legislators, Senior Officials & Managers",Total,Outram,1.7
2015,"Legislators, Senior Officials & Managers",Total,Pasir Ris,14
2015,"Legislators, Senior Officials & Managers",Total,Punggol,9.6
2015,"Legislators, Senior Officials & Managers",Total,Queenstown,8.7
2015,"Legislators, Senior Officials & Managers",Total,Sembawang,6.2
2015,"Legislators, Senior Officials & Managers",Total,Sengkang,17.9
2015,"Legislators, Senior Officials & Managers",Total,Serangoon,15.6
2015,"Legislators, Senior Officials & Managers",Total,Tampines,20.7
2015,"Legislators, Senior Officials & Managers",Total,Tanglin,5
2015,"Legislators, Senior Officials & Managers",Total,Toa Payoh,10.7
2015,"Legislators, Senior Officials & Managers",Total,Woodlands,12.5
2015,"Legislators, Senior Officials & Managers",Total,Yishun,13.1
2015,"Legislators, Senior Officials & Managers",Total,Others,8.1
2015,Professionals,Total,Ang Mo Kio,17.5
2015,Professionals,Total,Bedok,28.1
2015,Professionals,Total,Bishan,12
2015,Professionals,Total,Bukit Batok,14.3
2015,Professionals,Total,Bukit Merah,15.1
2015,Professionals,Total,Bukit Panjang,13.6
2015,Professionals,Total,Bukit Timah,13.1
2015,Professionals,Total,Choa Chu Kang,16.5
2015,Professionals,Total,Clementi,11.1
2015,Professionals,Total,Geylang,11.1
2015,Professionals,Total,Hougang,19.1
2015,Professionals,Total,Jurong East,8.3
2015,Professionals,Total,Jurong West,23.5
2015,Professionals,Total,Kallang,10.2
2015,Professionals,Total,Marine Parade,5.2
2015,Professionals,Total,Novena,6.5
2015,Professionals,Total,Outram,2
2015,Professionals,Total,Pasir Ris,12.2
2015,Professionals,Total,Punggol,13.9
2015,Professionals,Total,Queenstown,10.9
2015,Professionals,Total,Sembawang,9.4
2015,Professionals,Total,Sengkang,25.3
2015,Professionals,Total,Serangoon,14
2015,Professionals,Total,Tampines,26
2015,Professionals,Total,Tanglin,2.6
2015,Professionals,Total,Toa Payoh,13.1
2015,Professionals,Total,Woodlands,19.4
2015,Professionals,Total,Yishun,16.2
2015,Professionals,Total,Others,3.8
2015,Associate Professionals & Technicians,Total,Ang Mo Kio,16.8
2015,Associate Professionals & Technicians,Total,Bedok,27.5
2015,Associate Professionals & Technicians,Total,Bishan,9.4
2015,Associate Professionals & Technicians,Total,Bukit Batok,15.1
2015,Associate Professionals & Technicians,Total,Bukit Merah,13.8
2015,Associate Professionals & Technicians,Total,Bukit Panjang,16.4
2015,Associate Professionals & Technicians,Total,Bukit Timah,4.6
2015,Associate Professionals & Technicians,Total,Choa Chu Kang,22.9
2015,Associate Professionals & Technicians,Total,Clementi,8.7
2015,Associate Professionals & Technicians,Total,Geylang,11.3
2015,Associate Professionals & Technicians,Total,Hougang,25.5
2015,Associate Professionals & Technicians,Total,Jurong East,8.9
2015,Associate Professionals & Technicians,Total,Jurong West,33.5
2015,Associate Professionals & Technicians,Total,Kallang,9.8
2015,Associate Professionals & Technicians,Total,Marine Parade,3.4
2015,Associate Professionals & Technicians,Total,Novena,3.4
2015,Associate Professionals & Technicians,Total,Outram,2.5
2015,Associate Professionals & Technicians,Total,Pasir Ris,19
2015,Associate Professionals & Technicians,Total,Punggol,14.7
2015,Associate Professionals & Technicians,Total,Queenstown,9.3
2015,Associate Professionals & Technicians,Total,Sembawang,10.1
2015,Associate Professionals & Technicians,Total,Sengkang,27.4
2015,Associate Professionals & Technicians,Total,Serangoon,13.2
2015,Associate Professionals & Technicians,Total,Tampines,32
2015,Associate Professionals & Technicians,Total,Tanglin,0.8
2015,Associate Professionals & Technicians,Total,Toa Payoh,13.2
2015,Associate Professionals & Technicians,Total,Woodlands,28.4
2015,Associate Professionals & Technicians,Total,Yishun,24.5
2015,Associate Professionals & Technicians,Total,Others,3.4
2015,Clerical Support Workers,Total,Ang Mo Kio,11.1
2015,Clerical Support Workers,Total,Bedok,17.9
2015,Clerical Support Workers,Total,Bishan,5.3
2015,Clerical Support Workers,Total,Bukit Batok,9.5
2015,Clerical Support Workers,Total,Bukit Merah,9.2
2015,Clerical Support Workers,Total,Bukit Panjang,9.8
2015,Clerical Support Workers,Total,Bukit Timah,1.6
2015,Clerical Support Workers,Total,Choa Chu Kang,13.2
2015,Clerical Support Workers,Total,Clementi,4.6
2015,Clerical Support Workers,Total,Geylang,7.1
2015,Clerical Support Workers,Total,Hougang,17.6
2015,Clerical Support Workers,Total,Jurong East,6.1
2015,Clerical Support Workers,Total,Jurong West,21.5
2015,Clerical Support Workers,Total,Kallang,6.2
2015,Clerical Support Workers,Total,Marine Parade,1.8
2015,Clerical Support Workers,Total,Novena,1.9
2015,Clerical Support Workers,Total,Outram,1.1
2015,Clerical Support Workers,Total,Pasir Ris,10.8
2015,Clerical Support Workers,Total,Punggol,6.8
2015,Clerical Support Workers,Total,Queenstown,5.1
2015,Clerical Support Workers,Total,Sembawang,6.7
2015,Clerical Support Workers,Total,Sengkang,15.9
2015,Clerical Support Workers,Total,Serangoon,8
2015,Clerical Support Workers,Total,Tampines,21.9
2015,Clerical Support Workers,Total,Tanglin,0.3
2015,Clerical Support Workers,Total,Toa Payoh,8.2
2015,Clerical Support Workers,Total,Woodlands,17.9
2015,Clerical Support Workers,Total,Yishun,15.9
2015,Clerical Support Workers,Total,Others,2.1
2015,Service & Sales Workers,Total,Ang Mo Kio,13.6
2015,Service & Sales Workers,Total,Bedok,17.7
2015,Service & Sales Workers,Total,Bishan,4.5
2015,Service & Sales Workers,Total,Bukit Batok,8.8
2015,Service & Sales Workers,Total,Bukit Merah,12.1
2015,Service & Sales Workers,Total,Bukit Panjang,8.1
2015,Service & Sales Workers,Total,Bukit Timah,1.2
2015,Service & Sales Workers,Total,Choa Chu Kang,10.7
2015,Service & Sales Workers,Total,Clementi,4.2
2015,Service & Sales Workers,Total,Geylang,8.5
2015,Service & Sales Workers,Total,Hougang,14.7
2015,Service & Sales Workers,Total,Jurong East,5.5
2015,Service & Sales Workers,Total,Jurong West,17.1
2015,Service & Sales Workers,Total,Kallang,8
2015,Service & Sales Workers,Total,Marine Parade,1.8
2015,Service & Sales Workers,Total,Novena,2.4
2015,Service & Sales Workers,Total,Outram,2.1
2015,Service & Sales Workers,Total,Pasir Ris,9.3
2015,Service & Sales Workers,Total,Punggol,6
2015,Service & Sales Workers,Total,Queenstown,5.9
2015,Service & Sales Workers,Total,Sembawang,5.5
2015,Service & Sales Workers,Total,Sengkang,14.8
2015,Service & Sales Workers,Total,Serangoon,6.4
2015,Service & Sales Workers,Total,Tampines,18.8
2015,Service & Sales Workers,Total,Tanglin,0.1
2015,Service & Sales Workers,Total,Toa Payoh,9.6
2015,Service & Sales Workers,Total,Woodlands,18.4
2015,Service & Sales Workers,Total,Yishun,18.4
2015,Service & Sales Workers,Total,Others,2.1
2015,Craftsmen & Related Trades Workers,Total,Ang Mo Kio,4.7
2015,Craftsmen & Related Trades Workers,Total,Bedok,5.6
2015,Craftsmen & Related Trades Workers,Total,Bishan,0.9
2015,Craftsmen & Related Trades Workers,Total,Bukit Batok,2.9
2015,Craftsmen & Related Trades Workers,Total,Bukit Merah,2.5
2015,Craftsmen & Related Trades Workers,Total,Bukit Panjang,4.5
2015,Craftsmen & Related Trades Workers,Total,Bukit Timah,0.3
2015,Craftsmen & Related Trades Workers,Total,Choa Chu Kang,3.7
2015,Craftsmen & Related Trades Workers,Total,Clementi,1
2015,Craftsmen & Related Trades Workers,Total,Geylang,2.7
2015,Craftsmen & Related Trades Workers,Total,Hougang,4.3
2015,Craftsmen & Related Trades Workers,Total,Jurong East,1.9
2015,Craftsmen & Related Trades Workers,Total,Jurong West,7.9
2015,Craftsmen & Related Trades Workers,Total,Kallang,2.2
2015,Craftsmen & Related Trades Workers,Total,Marine Parade,0.5
2015,Craftsmen & Related Trades Workers,Total,Novena,0.7
2015,Craftsmen & Related Trades Workers,Total,Outram,0.1
2015,Craftsmen & Related Trades Workers,Total,Pasir Ris,2.7
2015,Craftsmen & Related Trades Workers,Total,Punggol,1.9
2015,Craftsmen & Related Trades Workers,Total,Queenstown,1.1
2015,Craftsmen & Related Trades Workers,Total,Sembawang,2.1
2015,Craftsmen & Related Trades Workers,Total,Sengkang,4.3
2015,Craftsmen & Related Trades Workers,Total,Serangoon,1.8
2015,Craftsmen & Related Trades Workers,Total,Tampines,6
2015,Craftsmen & Related Trades Workers,Total,Tanglin,0
2015,Craftsmen & Related Trades Workers,Total,Toa Payoh,1.9
2015,Craftsmen & Related Trades Workers,Total,Woodlands,9.3
2015,Craftsmen & Related Trades Workers,Total,Yishun,5.9
2015,Craftsmen & Related Trades Workers,Total,Others,0.5
2015,Plant & Machine Operators & Assemblers,Total,Ang Mo Kio,7.9
2015,Plant & Machine Operators & Assemblers,Total,Bedok,8.7
2015,Plant & Machine Operators & Assemblers,Total,Bishan,1.7
2015,Plant & Machine Operators & Assemblers,Total,Bukit Batok,4.9
2015,Plant & Machine Operators & Assemblers,Total,Bukit Merah,6
2015,Plant & Machine Operators & Assemblers,Total,Bukit Panjang,6.6
2015,Plant & Machine Operators & Assemblers,Total,Bukit Timah,0.3
2015,Plant & Machine Operators & Assemblers,Total,Choa Chu Kang,8.1
2015,Plant & Machine Operators & Assemblers,Total,Clementi,2.7
2015,Plant & Machine Operators & Assemblers,Total,Geylang,3.6
2015,Plant & Machine Operators & Assemblers,Total,Hougang,8.8
2015,Plant & Machine Operators & Assemblers,Total,Jurong East,3.9
2015,Plant & Machine Operators & Assemblers,Total,Jurong West,15.4
2015,Plant & Machine Operators & Assemblers,Total,Kallang,2.9
2015,Plant & Machine Operators & Assemblers,Total,Marine Parade,0.5
2015,Plant & Machine Operators & Assemblers,Total,Novena,1.1
2015,Plant & Machine Operators & Assemblers,Total,Outram,0.7
2015,Plant & Machine Operators & Assemblers,Total,Pasir Ris,3.8
2015,Plant & Machine Operators & Assemblers,Total,Punggol,2.8
2015,Plant & Machine Operators & Assemblers,Total,Queenstown,3.1
2015,Plant & Machine Operators & Assemblers,Total,Sembawang,2.8
2015,Plant & Machine Operators & Assemblers,Total,Sengkang,8.3
2015,Plant & Machine Operators & Assemblers,Total,Serangoon,3
2015,Plant & Machine Operators & Assemblers,Total,Tampines,11
2015,Plant & Machine Operators & Assemblers,Total,Tanglin,0
2015,Plant & Machine Operators & Assemblers,Total,Toa Payoh,4.6
2015,Plant & Machine Operators & Assemblers,Total,Woodlands,12.4
2015,Plant & Machine Operators & Assemblers,Total,Yishun,10.3
2015,Plant & Machine Operators & Assemblers,Total,Others,0.4
2015,"Cleaners, Labourers & Related Workers",Total,Ang Mo Kio,11.1
2015,"Cleaners, Labourers & Related Workers",Total,Bedok,11.5
2015,"Cleaners, Labourers & Related Workers",Total,Bishan,2.1
2015,"Cleaners, Labourers & Related Workers",Total,Bukit Batok,4.9
2015,"Cleaners, Labourers & Related Workers",Total,Bukit Merah,9.3
2015,"Cleaners, Labourers & Related Workers",Total,Bukit Panjang,6.1
2015,"Cleaners, Labourers & Related Workers",Total,Bukit Timah,0.4
2015,"Cleaners, Labourers & Related Workers",Total,Choa Chu Kang,6.3
2015,"Cleaners, Labourers & Related Workers",Total,Clementi,3.8
2015,"Cleaners, Labourers & Related Workers",Total,Geylang,6.3
2015,"Cleaners, Labourers & Related Workers",Total,Hougang,8.8
2015,"Cleaners, Labourers & Related Workers",Total,Jurong East,4.3
2015,"Cleaners, Labourers & Related Workers",Total,Jurong West,14.1
2015,"Cleaners, Labourers & Related Workers",Total,Kallang,5.3
2015,"Cleaners, Labourers & Related Workers",Total,Marine Parade,1
2015,"Cleaners, Labourers & Related Workers",Total,Novena,1.7
2015,"Cleaners, Labourers & Related Workers",Total,Outram,1.3
2015,"Cleaners, Labourers & Related Workers",Total,Pasir Ris,2.7
2015,"Cleaners, Labourers & Related Workers",Total,Punggol,3
2015,"Cleaners, Labourers & Related Workers",Total,Queenstown,3.8
2015,"Cleaners, Labourers & Related Workers",Total,Sembawang,3.1
2015,"Cleaners, Labourers & Related Workers",Total,Sengkang,6.8
2015,"Cleaners, Labourers & Related Workers",Total,Serangoon,3.5
2015,"Cleaners, Labourers & Related Workers",Total,Tampines,11
2015,"Cleaners, Labourers & Related Workers",Total,Tanglin,0
2015,"Cleaners, Labourers & Related Workers",Total,Toa Payoh,5.9
2015,"Cleaners, Labourers & Related Workers",Total,Woodlands,11
2015,"Cleaners, Labourers & Related Workers",Total,Yishun,10.4
2015,"Cleaners, Labourers & Related Workers",Total,Others,0.6
2015,Others,Total,Ang Mo Kio,3.5
2015,Others,Total,Bedok,3.6
2015,Others,Total,Bishan,1.8
2015,Others,Total,Bukit Batok,2.4
2015,Others,Total,Bukit Merah,2.2
2015,Others,Total,Bukit Panjang,3
2015,Others,Total,Bukit Timah,1.2
2015,Others,Total,Choa Chu Kang,3.7
2015,Others,Total,Clementi,1
2015,Others,Total,Geylang,1.9
2015,Others,Total,Hougang,3.9
2015,Others,Total,Jurong East,1.6
2015,Others,Total,Jurong West,6.2
2015,Others,Total,Kallang,0.9
2015,Others,Total,Marine Parade,0.5
2015,Others,Total,Novena,0.6
2015,Others,Total,Outram,0.2
2015,Others,Total,Pasir Ris,3.6
2015,Others,Total,Punggol,1.8
2015,Others,Total,Queenstown,1.3
2015,Others,Total,Sembawang,1.5
2015,Others,Total,Sengkang,3.6
2015,Others,Total,Serangoon,2.7
2015,Others,Total,Tampines,5.3
2015,Others,Total,Tanglin,0.2
2015,Others,Total,Toa Payoh,1.6
2015,Others,Total,Woodlands,5.5
2015,Others,Total,Yishun,4.5
2015,Others,Total,Others,0.5
